TTDDrugID	TTDTargetID	targetName	actions
D0L5RW	T96079	C-X-C chemokine receptor 4	Antagonist
D06LOQ	T89534	Estrogen receptor	Inhibitor
D0JY8T	T89534	Estrogen receptor	Modulator
D0N6YV	T89534	Estrogen receptor	Agonist
D0X0KJ	T89534	Estrogen receptor	Binder
D0CT9Y	T89534	Estrogen receptor	Modulator
D0I5WB	T89534	Estrogen receptor	Modulator
D0X1EZ	T89534	Estrogen receptor	Modulator
D09IPV	T89534	Estrogen receptor	Antagonist
D09ZQN	T89534	Estrogen receptor	Agonist
D0Y2NE	T89534	Estrogen receptor	Agonist
D08QMX	T89534	Estrogen receptor	Agonist
D0T7ZQ	T89534	Estrogen receptor	Modulator
D0U0XD	T89534	Estrogen receptor	Modulator
D07VBA	T89534	Estrogen receptor	Modulator
D02YUT	T89534	Estrogen receptor	Agonist
D0Z1FX	T89534	Estrogen receptor	Agonist
D00ZFP	T89534	Estrogen receptor	Agonist
D03IUY	T89534	Estrogen receptor	Modulator
D06NXY	T89534	Estrogen receptor	Agonist
D0JO8Z	T89534	Estrogen receptor	Modulator
D0JO7Y	T89534	Estrogen receptor	Antagonist
D0M5RF	T89534	Estrogen receptor	Modulator
D09NMD	T89534	Estrogen receptor	Modulator
D0J1ML	T89534	Estrogen receptor	Agonist
D0Z5OE	T89534	Estrogen receptor	Binder
D0V2JK	T89534	Estrogen receptor	Modulator
D02CTS	T89534	Estrogen receptor	Modulator
D04UZT	T89534	Estrogen receptor	Modulator
D01XBA	T89534	Estrogen receptor	Modulator
D07KSG	T89534	Estrogen receptor	Antagonist
D04VFJ	T89534	Estrogen receptor	Modulator
D0I5HF	T84631	Coagulation factor Xa	Inhibitor
D0J0BU	T84631	Coagulation factor Xa	Modulator
D0E7MB	T84631	Coagulation factor Xa	Modulator
D0C3BS	T84631	Coagulation factor Xa	Modulator
D0NE9T	T84631	Coagulation factor Xa	Inhibitor
D08PSU	T84631	Coagulation factor Xa	Modulator
D0KG3R	T84631	Coagulation factor Xa	Modulator
D09QDP	T83875	Amine oxidase [flavin-containing] A	Inhibitor
D0I2VK	T83875	Amine oxidase [flavin-containing] A	Inhibitor
D01ZSO	T83875	Amine oxidase [flavin-containing] A	Inhibitor
D0H0HJ	T83875	Amine oxidase [flavin-containing] A	Inhibitor
D01ZRI	T80975	Vascular endothelial growth factor receptor 2	Modulator
D0IQ6P	T80975	Vascular endothelial growth factor receptor 2	Inhibitor
D09GDD	T80975	Vascular endothelial growth factor receptor 2	Modulator
D0W5HK	T80975	Vascular endothelial growth factor receptor 2	Modulator
D0R0MW	T80975	Vascular endothelial growth factor receptor 2	Modulator
D0G6QF	T80975	Vascular endothelial growth factor receptor 2	Inhibitor
D0SZ6E	T80975	Vascular endothelial growth factor receptor 2	Inhibitor
D01WJL	T78464	Prostaglandin G/H synthase 2	Modulator
D0IT2X	T78464	Prostaglandin G/H synthase 2	Inhibitor
D03RTS	T78464	Prostaglandin G/H synthase 2	Inhibitor
D08LFZ	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0N1WU	T78464	Prostaglandin G/H synthase 2	Inhibitor
D09MGR	T78464	Prostaglandin G/H synthase 2	Inhibitor
D06LHG	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0B2WJ	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0A1PX	T78464	Prostaglandin G/H synthase 2	Modulator
D0R1QE	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0R1RS	T78464	Prostaglandin G/H synthase 2	Modulator
D0W9WF	T78464	Prostaglandin G/H synthase 2	Inhibitor
D04YMH	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0MN9K	T78464	Prostaglandin G/H synthase 2	Modulator
D05FTJ	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0G7FJ	T78464	Prostaglandin G/H synthase 2	Inhibitor
D05CKR	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0DJ1B	T78464	Prostaglandin G/H synthase 2	Inhibitor
D00HGB	T78464	Prostaglandin G/H synthase 2	Inhibitor
D07VHR	T78464	Prostaglandin G/H synthase 2	Inhibitor
D05VLS	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0I6IB	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0S7VO	T78464	Prostaglandin G/H synthase 2	Inhibitor
D09BHB	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0L6DA	T78464	Prostaglandin G/H synthase 2	Inhibitor
D0R7WU	T67684	Muscarinic acetylcholine receptor M3	Inhibitor
D0Q4CS	T67684	Muscarinic acetylcholine receptor M3	Agonist
D0Y5AM	T67684	Muscarinic acetylcholine receptor M3	Antagonist
D0S0AS	T67684	Muscarinic acetylcholine receptor M3	Modulator
D07KHH	T67684	Muscarinic acetylcholine receptor M3	Antagonist
D04MWJ	T67684	Muscarinic acetylcholine receptor M3	Modulator
D04LHJ	T67684	Muscarinic acetylcholine receptor M3	Modulator
D05KZK	T67684	Muscarinic acetylcholine receptor M3	Agonist
D0L4YD	T67684	Muscarinic acetylcholine receptor M3	Antagonist
D0Q7ZQ	T67684	Muscarinic acetylcholine receptor M3	Antagonist
D0P1WA	T67684	Muscarinic acetylcholine receptor M3	Antagonist
D0BZ7W	T67684	Muscarinic acetylcholine receptor M3	Antagonist
D0L0MB	T67162	D(2) dopamine receptor	Antagonist
D03ELL	T67162	D(2) dopamine receptor	Antagonist
D02DPU	T67162	D(2) dopamine receptor	Inhibitor
D0H6QU	T67162	D(2) dopamine receptor	Agonist
D0H3HM	T67162	D(2) dopamine receptor	Agonist
D01SAT	T67162	D(2) dopamine receptor	Antagonist
D06YFA	T67162	D(2) dopamine receptor	Agonist
D04EGX	T67162	D(2) dopamine receptor	Agonist
D05XGO	T67162	D(2) dopamine receptor	Modulator
D01QML	T67162	D(2) dopamine receptor	Antagonist
D01ZII	T67162	D(2) dopamine receptor	Antagonist
D0B0CP	T67162	D(2) dopamine receptor	Antagonist
D0T2IA	T67162	D(2) dopamine receptor	Antagonist
D0Q9ON	T67162	D(2) dopamine receptor	Modulator
D0V3ZA	T67162	D(2) dopamine receptor	Agonist
D0SP3D	T67162	D(2) dopamine receptor	Agonist
D0K2TB	T67162	D(2) dopamine receptor	Modulator
D0AV3G	T67162	D(2) dopamine receptor	Antagonist
D0T7OW	T67162	D(2) dopamine receptor	Agonist
D0V7XF	T67162	D(2) dopamine receptor	Modulator
D03CJL	T67162	D(2) dopamine receptor	Binder
D0LG8E	T67162	D(2) dopamine receptor	Agonist
D0C1IW	T67162	D(2) dopamine receptor	Agonist
D0U5FS	T67162	D(2) dopamine receptor	Antagonist
D0D1AL	T67162	D(2) dopamine receptor	Antagonist
D0U9QU	T67162	D(2) dopamine receptor	Modulator
D0M8VE	T67162	D(2) dopamine receptor	Antagonist
D08HVR	T67162	D(2) dopamine receptor	Modulator
D09LZT	T67162	D(2) dopamine receptor	Modulator
D0X7KB	T67162	D(2) dopamine receptor	Agonist
D0U5OE	T67162	D(2) dopamine receptor	Antagonist
D01QGX	T67162	D(2) dopamine receptor	Modulator
D0G1OZ	T67162	D(2) dopamine receptor	Agonist
D04AAN	T67162	D(2) dopamine receptor	Agonist
D04EYC	T67162	D(2) dopamine receptor	Agonist
D03FPU	T67162	D(2) dopamine receptor	Agonist
D0BA6T	T67162	D(2) dopamine receptor	Agonist
D08VYV	T67162	D(2) dopamine receptor	Antagonist
D09TPF	T67162	D(2) dopamine receptor	Binder
D09OQV	T67162	D(2) dopamine receptor	Agonist
D0O6IZ	T67162	D(2) dopamine receptor	Agonist
D0IN7I	T67162	D(2) dopamine receptor	Agonist
D0V4QS	T67162	D(2) dopamine receptor	Agonist
D0P0OU	T67162	D(2) dopamine receptor	Modulator
D0F9KL	T67162	D(2) dopamine receptor	Antagonist
D04JCN	T67162	D(2) dopamine receptor	Modulator
D02HED	T67162	D(2) dopamine receptor	Antagonist
D0X2DK	T67162	D(2) dopamine receptor	Antagonist
D01JUF	T67162	D(2) dopamine receptor	Antagonist
D0O6IU	T67162	D(2) dopamine receptor	Agonist
D0KS6W	T67162	D(2) dopamine receptor	Inhibitor
D00KHM	T67162	D(2) dopamine receptor	Antagonist
D0AO6B	T67162	D(2) dopamine receptor	Modulator
D0G8NN	T67162	D(2) dopamine receptor	Modulator
D0B2UZ	T67162	D(2) dopamine receptor	Antagonist
D00HHS	T67162	D(2) dopamine receptor	Stimulator
D0H7KF	T67162	D(2) dopamine receptor	Agonist
D0W9ZF	T67162	D(2) dopamine receptor	Agonist
D01AZG	T67162	D(2) dopamine receptor	Antagonist
D0R9EQ	T67162	D(2) dopamine receptor	Modulator
D03QGM	T67162	D(2) dopamine receptor	Antagonist
D0Y0ER	T67162	D(2) dopamine receptor	Antagonist
D0U1OE	T67162	D(2) dopamine receptor	Antagonist
D0E0LQ	T67162	D(2) dopamine receptor	Antagonist
D02LCR	T67162	D(2) dopamine receptor	Antagonist
D03RZV	T67162	D(2) dopamine receptor	Antagonist
D0R1JV	T67162	D(2) dopamine receptor	Agonist
D0I8LU	T67162	D(2) dopamine receptor	Antagonist
D00HCQ	T52227	Thymidylate synthase	Inhibitor
D06EGK	T52227	Thymidylate synthase	Inhibitor
D0S5WG	T52227	Thymidylate synthase	Inhibitor
D05LEO	T52227	Thymidylate synthase	Inhibitor
D0M3MN	T52227	Thymidylate synthase	Inhibitor
D0Y4GO	T52227	Thymidylate synthase	Inhibitor
D01KKQ	T52227	Thymidylate synthase	Inhibitor
D05RHI	T52227	Thymidylate synthase	Inhibitor
D0D0YM	T51408	Beta-3 adrenergic receptor	Modulator
D06RUL	T51408	Beta-3 adrenergic receptor	Modulator
D0H5MB	T51408	Beta-3 adrenergic receptor	Modulator
D0X5UN	T51408	Beta-3 adrenergic receptor	Modulator
D09SSC	T51408	Beta-3 adrenergic receptor	Modulator
D03UVS	T38301	Ribonucleoside-diphosphatereductase subunit M2	Modulator
D07CWD	T38301	Ribonucleoside-diphosphatereductase subunit M2	Modulator
D0P6UB	T29500	Alpha-1B adrenergic receptor	Antagonist
D09GYT	T29500	Alpha-1B adrenergic receptor	Stimulator
D0T6SU	T29500	Alpha-1B adrenergic receptor	Antagonist
D00AWT	T29500	Alpha-1B adrenergic receptor	Binder
D0V9BD	T11211	Androgen receptor	Antagonist
D06AEO	T11211	Androgen receptor	Antagonist
D09NNA	T11211	Androgen receptor	Binder
D0QK5X	T11211	Androgen receptor	Modulator
D0SC8F	T11211	Androgen receptor	Modulator
D0B2WJ	T11211	Androgen receptor	Inhibitor
D0L2LS	T11211	Androgen receptor	Agonist
D0Y0SW	T11211	Androgen receptor	Antagonist
D0BC2E	T11211	Androgen receptor	Antagonist
D00YWP	T11211	Androgen receptor	Agonist
D0SN9T	T11211	Androgen receptor	Antagonist
D0U3GL	T11211	Androgen receptor	Agonist
D06XMU	T11211	Androgen receptor	Agonist
D0Y9EW	T99089	B-Raf proto-oncogene serine/threonine-protein kinase	Modulator
D09WKB	T94033	Coagulation factor IIa	Modulator
D07UWV	T94033	Coagulation factor IIa	Inhibitor
D09HVL	T94033	Coagulation factor IIa	Inhibitor
D0M7JT	T94033	Coagulation factor IIa	Inhibitor
D09LPN	T94033	Coagulation factor IIa	Inhibitor
D0B5LF	T94033	Coagulation factor IIa	Inhibitor
D06IAR	T86679	Adenosine A2b receptor	Modulator
D0NI0C	T86679	Adenosine A2b receptor	Modulator
D03AJX	T83145	Nuclear factor NF-kappa-B	Inhibitor
D0U2OO	T78709	5-hydroxytryptamine 1A receptor	Agonist
D0S9CB	T78709	5-hydroxytryptamine 1A receptor	Modulator
D0P0OU	T78709	5-hydroxytryptamine 1A receptor	Modulator
D03SFU	T78709	5-hydroxytryptamine 1A receptor	Inhibitor
D00USF	T78709	5-hydroxytryptamine 1A receptor	Modulator
D07NJI	T78709	5-hydroxytryptamine 1A receptor	Antagonist
D0K0VO	T78709	5-hydroxytryptamine 1A receptor	Agonist
D0X6BV	T78709	5-hydroxytryptamine 1A receptor	Modulator
D0J5VR	T67849	PI3K delta	Inhibitor
D06GKN	T64591	5-hydroxytryptamine receptor 3A	Antagonist
D00YLW	T64591	5-hydroxytryptamine receptor 3A	Antagonist
D01XRM	T64591	5-hydroxytryptamine receptor 3A	Antagonist
D04FVU	T64591	5-hydroxytryptamine receptor 3A	Antagonist
D0TZ1G	T64591	5-hydroxytryptamine receptor 3A	Antagonist
D0K0KH	T64591	5-hydroxytryptamine receptor 3A	Antagonist
D01WJL	T60529	Prostaglandin G/H synthase 1	Modulator
D0A6KR	T60529	Prostaglandin G/H synthase 1	Inhibitor
D0U1OM	T60529	Prostaglandin G/H synthase 1	Inhibitor
D06LHG	T60529	Prostaglandin G/H synthase 1	Inhibitor
D0B2WJ	T60529	Prostaglandin G/H synthase 1	Inhibitor
D0O1TC	T60529	Prostaglandin G/H synthase 1	Inhibitor
D0MN9K	T60529	Prostaglandin G/H synthase 1	Modulator
D0C4YC	T60529	Prostaglandin G/H synthase 1	Inhibitor
D0DJ1B	T60529	Prostaglandin G/H synthase 1	Inhibitor
D00IBN	T60529	Prostaglandin G/H synthase 1	Modulator
D07HBX	T60529	Prostaglandin G/H synthase 1	Inhibitor
D0Y0JH	T60529	Prostaglandin G/H synthase 1	Inhibitor
D07BPS	T60529	Prostaglandin G/H synthase 1	Inhibitor
D03OFF	T58921	Peroxisome proliferator activated receptor gamma	Agonist
D0K5ER	T58921	Peroxisome proliferator activated receptor gamma	Agonist
D0K8IX	T58921	Peroxisome proliferator activated receptor gamma	Agonist
D06XZW	T58921	Peroxisome proliferator activated receptor gamma	Agonist
D02QCD	T55959	Sodium-dependent dopamine transporter	Inhibitor
D02GJZ	T55959	Sodium-dependent dopamine transporter	Modulator
D02PPN	T55959	Sodium-dependent dopamine transporter	Blocker
D07HQC	T55959	Sodium-dependent dopamine transporter	Modulator
D01QIN	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D03KIA	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D08GHB	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D06WTZ	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D0G1WL	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D02RQU	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D0XB8R	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D0JE2E	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D0H0ND	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D09PUR	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D03VFL	T53585	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Inhibitor
D0G5QB	T47768	Mu-type opioid receptor	Agonist
D0D7KC	T47768	Mu-type opioid receptor	Antagonist
D0X6HD	T47768	Mu-type opioid receptor	Agonist
D05ZTJ	T47768	Mu-type opioid receptor	Modulator
D06AWE	T47768	Mu-type opioid receptor	Agonist
D0J2TN	T47768	Mu-type opioid receptor	Agonist
D09ZXR	T47768	Mu-type opioid receptor	Modulator
D0E1WI	T47768	Mu-type opioid receptor	Modulator
D0X5KF	T47768	Mu-type opioid receptor	Modulator
D05PIZ	T47768	Mu-type opioid receptor	Agonist
D0HF0W	T47768	Mu-type opioid receptor	Modulator
D0GR0T	T47768	Mu-type opioid receptor	Agonist
D03YVO	T47768	Mu-type opioid receptor	Modulator
D0WE3O	T47768	Mu-type opioid receptor	Modulator
D07LCF	T47768	Mu-type opioid receptor	Modulator
D0X3FX	T47768	Mu-type opioid receptor	Antagonist
D03HCZ	T47768	Mu-type opioid receptor	Modulator
D0T5OX	T47768	Mu-type opioid receptor	Agonist
D0K4MH	T47768	Mu-type opioid receptor	Modulator
D0HD9K	T44068	Beta-1 adrenergic receptor	Antagonist
D01JGV	T44068	Beta-1 adrenergic receptor	Modulator
D06VFO	T44068	Beta-1 adrenergic receptor	Modulator
D05ZJG	T44068	Beta-1 adrenergic receptor	Modulator
D06KYN	T44068	Beta-1 adrenergic receptor	Stimulator
D01UXC	T44068	Beta-1 adrenergic receptor	Antagonist
D03ROX	T44068	Beta-1 adrenergic receptor	Antagonist
D0JP4H	T44068	Beta-1 adrenergic receptor	Antagonist
D0K3ZR	T44068	Beta-1 adrenergic receptor	Antagonist
D02YYF	T44068	Beta-1 adrenergic receptor	Antagonist
D03GCJ	T44068	Beta-1 adrenergic receptor	Agonist
D01JFT	T44068	Beta-1 adrenergic receptor	Antagonist
D0J7RK	T44068	Beta-1 adrenergic receptor	Agonist
D04PHC	T44068	Beta-1 adrenergic receptor	Agonist
D03XTC	T44068	Beta-1 adrenergic receptor	Antagonist
D0A6CQ	T44068	Beta-1 adrenergic receptor	Antagonist
D00IUG	T44068	Beta-1 adrenergic receptor	Antagonist
D0L5FY	T44068	Beta-1 adrenergic receptor	Antagonist
D0I2MK	T44068	Beta-1 adrenergic receptor	Antagonist
D05SHK	T44068	Beta-1 adrenergic receptor	Modulator
D0Z1UA	T44068	Beta-1 adrenergic receptor	Antagonist
D07MOX	T44068	Beta-1 adrenergic receptor	Stimulator
D0X2MB	T44068	Beta-1 adrenergic receptor	Antagonist
D0W8SB	T44068	Beta-1 adrenergic receptor	Antagonist
D0F2PO	T44068	Beta-1 adrenergic receptor	Antagonist
D0KD1U	T44068	Beta-1 adrenergic receptor	Antagonist
D04JEE	T44068	Beta-1 adrenergic receptor	Antagonist
D02FCQ	T44068	Beta-1 adrenergic receptor	Modulator
D04VMT	T44068	Beta-1 adrenergic receptor	Antagonist
D05UVD	T44068	Beta-1 adrenergic receptor	Antagonist
D0CW1P	T40016	Glucocorticoid receptor	Agonist
D06CWH	T40016	Glucocorticoid receptor	Modulator
D03SXE	T40016	Glucocorticoid receptor	Modulator
D0Y7IU	T40016	Glucocorticoid receptor	Antagonist
D09WYX	T40016	Glucocorticoid receptor	Modulator
D0IT2G	T40016	Glucocorticoid receptor	Agonist
D0NA8U	T40016	Glucocorticoid receptor	Agonist
D0FM2P	T40016	Glucocorticoid receptor	Agonist
D02QJH	T40016	Glucocorticoid receptor	Modulator
D0P0HT	T40016	Glucocorticoid receptor	Binder
D0LC6K	T40016	Glucocorticoid receptor	Antagonist
D0Y7JU	T40016	Glucocorticoid receptor	Agonist
D05RXI	T40016	Glucocorticoid receptor	Modulator
D0KR5B	T40016	Glucocorticoid receptor	Modulator
D0I5DS	T40016	Glucocorticoid receptor	Modulator
D08PIQ	T40016	Glucocorticoid receptor	Modulator
D0Z4EI	T40016	Glucocorticoid receptor	Modulator
D03HYX	T40016	Glucocorticoid receptor	Agonist
D0D1SG	T40016	Glucocorticoid receptor	Modulator
D0IL7L	T40016	Glucocorticoid receptor	Agonist
D03BLF	T40016	Glucocorticoid receptor	Modulator
D01NLB	T38338	Voltage-dependent N-type calcium channel	Blocker
D0L1OY	T34429	Neuronal acetylcholine receptor protein, alpha-7 chain	Inhibitor
D0E0NJ	T34429	Neuronal acetylcholine receptor protein, alpha-7 chain	Binder
D00PBX	T31309	Apoptosis regulator Bcl-2	Modulator
D06DLI	T31309	Apoptosis regulator Bcl-2	Regulator (upregulator)
D0C4RB	T31309	Apoptosis regulator Bcl-2	Modulator
D0M6DO	T13260	Cytochrome P450 19	Inhibitor
D0W0BF	T13260	Cytochrome P450 19	Inhibitor
D0D2VS	T13260	Cytochrome P450 19	Inhibitor
D0ZX1P	T13260	Cytochrome P450 19	Inhibitor
D0C1WH	T13260	Cytochrome P450 19	Inhibitor
D0C7JF	T13260	Cytochrome P450 19	Inhibitor
D0NR6S	T09960	C-C chemokinereceptor type 5	Antagonist
D05GJW	T03661	Adenosine deaminase	Inhibitor
D0F2XQ	T03661	Adenosine deaminase	Inhibitor
D0T3AD	T03661	Adenosine deaminase	Inhibitor
D04RGA	T99954	Prostacyclin receptor	Antagonist
D0V0IX	T99954	Prostacyclin receptor	Agonist
D09ANG	T99954	Prostacyclin receptor	Antagonist
D0N2SR	T99954	Prostacyclin receptor	Agonist
D01WUA	T99954	Prostacyclin receptor	Agonist
D0B3HD	T92072	Adenosine A1 receptor	Antagonist
D0FD0H	T89034	Plasminogen	Inhibitor
D03HYQ	T89034	Plasminogen	Modulator
D04URO	T89034	Plasminogen	Activator
D05HXX	T89034	Plasminogen	Inhibitor
D0OB0F	T85943	Proto-oncogene tyrosine-protein kinase SRC	Inhibitor
D0E6XR	T85943	Proto-oncogene tyrosine-protein kinase SRC	Inhibitor
D07DIM	T85943	Proto-oncogene tyrosine-protein kinase SRC	Inhibitor
D03MTN	T78585	Interleukin-5	Modulator
D0B3HD	T77365	Adenosine A2a receptor	Antagonist
D0XE1C	T77365	Adenosine A2a receptor	Modulator
D0P1FO	T76685	Cannabinoid receptor 1	Agonist
D0L7AS	T76685	Cannabinoid receptor 1	Inhibitor
D0O3OS	T76685	Cannabinoid receptor 1	Antagonist
D0E3SH	T68547	Histone deacetylase 1	Inhibitor
D0L7LC	T68547	Histone deacetylase 1	Inhibitor
D0E7PQ	T68547	Histone deacetylase 1	Inhibitor
D00MDP	T68251	72 kDa type IV collagenase	Inhibitor
D0Q4XQ	T64795	Voltage-dependent T-type calcium channel alpha-1G subunit	Blocker
D08EOD	T64795	Voltage-dependent T-type calcium channel alpha-1G subunit	Blocker
D09JBP	T64795	Voltage-dependent T-type calcium channel alpha-1G subunit	Blocker
D0CQ0Z	T64795	Voltage-dependent T-type calcium channel alpha-1G subunit	Blocker
D0U4VT	T64795	Voltage-dependent T-type calcium channel alpha-1G subunit	Blocker
D0R0FE	T64795	Voltage-dependent T-type calcium channel alpha-1G subunit	Blocker
D0R1CR	T62390	Tyrosine 3-monooxygenase	Binder
D01CRB	T62390	Tyrosine 3-monooxygenase	Binder
D0B3QM	T62390	Tyrosine 3-monooxygenase	Binder
D0Q9YT	T62390	Tyrosine 3-monooxygenase	Cofactor
D0P7JZ	T62193	Aromatic-L-amino-acid decarboxylase	Inhibitor
D07MUN	T62193	Aromatic-L-amino-acid decarboxylase	Cofactor
D0B2WJ	T60857	Aldo-keto reductase family 1 member C3	Inhibitor
D09GOS	T56923	High affinity interleukin-8 receptor B	Modulator
D0D1DI	T52522	Beta-2 adrenergic receptor	Agonist
D07XYV	T52522	Beta-2 adrenergic receptor	Agonist
D0X5NX	T52522	Beta-2 adrenergic receptor	Agonist
D04XEG	T52522	Beta-2 adrenergic receptor	Agonist
D04KJO	T52522	Beta-2 adrenergic receptor	Agonist
D0FG6M	T52522	Beta-2 adrenergic receptor	Agonist
D03DJL	T52522	Beta-2 adrenergic receptor	Agonist
D08HUC	T52522	Beta-2 adrenergic receptor	Modulator
D0I8FI	T52522	Beta-2 adrenergic receptor	Modulator
D02ZJI	T52522	Beta-2 adrenergic receptor	Antagonist
D02UFG	T52522	Beta-2 adrenergic receptor	Modulator
D04UTT	T52522	Beta-2 adrenergic receptor	Modulator
D0Y2MV	T52522	Beta-2 adrenergic receptor	Agonist
D0SS4P	T52522	Beta-2 adrenergic receptor	Agonist
D0Z1WA	T52522	Beta-2 adrenergic receptor	Agonist
D00LFB	T52522	Beta-2 adrenergic receptor	Modulator
D0K5CB	T52522	Beta-2 adrenergic receptor	Agonist
D0L5YV	T52522	Beta-2 adrenergic receptor	Agonist
D0M8RC	T52522	Beta-2 adrenergic receptor	Agonist
D0L0GM	T52522	Beta-2 adrenergic receptor	Modulator
D00MDP	T52450	Interstitial collagenase	Inhibitor
D03ZTE	T51426	Bile acid receptor	Modulator
D0G8BV	T51426	Bile acid receptor	Antagonist
D0M4WA	T51426	Bile acid receptor	Modulator
D0Y3TM	T49493	Hemoglobin	Activator
D08OKJ	T49493	Hemoglobin	Activator
D0S7WX	T46456	Retinoic acid receptor RXR-gamma	Binder
D0R7WU	T46185	Muscarinic acetylcholine receptor M2	Inhibitor
D05SJW	T46185	Muscarinic acetylcholine receptor M2	Antagonist
D0S8IQ	T46185	Muscarinic acetylcholine receptor M2	Inhibitor
D0M6VK	T46185	Muscarinic acetylcholine receptor M2	Antagonist
D0B7YT	T46185	Muscarinic acetylcholine receptor M2	Antagonist
D05KZK	T46185	Muscarinic acetylcholine receptor M2	Agonist
D04KYY	T40954	Xanthine dehydrogenase/oxidase	Inhibitor
D0A5SE	T40954	Xanthine dehydrogenase/oxidase	Inhibitor
D0OR2L	T31479	Phospholipase A2	Inhibitor
D0FL5V	T31479	Phospholipase A2	Inhibitor
D00GOS	T31479	Phospholipase A2	Inducer
D0G7KJ	T31479	Phospholipase A2	Inhibitor
D00FGR	T31479	Phospholipase A2	Inhibitor
D06IAQ	T30082	Acetylcholinesterase	Inhibitor
D06IDT	T30082	Acetylcholinesterase	Inhibitor
D0NS6H	T30082	Acetylcholinesterase	Modulator
D0U8AT	T30082	Acetylcholinesterase	Modulator
D0S5LH	T30082	Acetylcholinesterase	Inhibitor
D0R9VR	T30082	Acetylcholinesterase	Inhibitor
D06XWB	T30082	Acetylcholinesterase	Inhibitor
D0B2OT	T30082	Acetylcholinesterase	Inhibitor
D0K3LW	T30082	Acetylcholinesterase	Inhibitor
D08USJ	T30082	Acetylcholinesterase	Inhibitor
D0X7NU	T30082	Acetylcholinesterase	Modulator
D0O2WB	T30082	Acetylcholinesterase	Inhibitor
D0WY5Q	T30082	Acetylcholinesterase	Modulator
D0E6YQ	T30082	Acetylcholinesterase	Inhibitor
