receptor,helical,beta,coil,veryBuried,veryExposed,someBuried,someExposed
1DHJ_A,0.220,0.333,0.447,0.283,0.264,0.214,0.239
1DTQ_A,0.302,0.223,0.475,0.295,0.218,0.287,0.200
1DX6_A,0.337,0.112,0.551,0.387,0.215,0.236,0.162
1EBY_A,0.091,0.475,0.434,0.202,0.354,0.263,0.182
1EED_P,0.076,0.424,0.500,0.348,0.233,0.252,0.167
1EJN_A,0.087,0.391,0.522,0.312,0.277,0.237,0.174
1F2O_A,0.373,0.158,0.468,0.359,0.250,0.243,0.148
1FDQ_A,0.122,0.588,0.290,0.145,0.359,0.221,0.275
1FJS_A,0.081,0.410,0.509,0.321,0.261,0.226,0.192
1FKB_A,0.093,0.411,0.495,0.178,0.355,0.215,0.252
1FTJ_A,0.338,0.243,0.418,0.266,0.270,0.247,0.217
1FV0_A,0.430,0.083,0.488,0.182,0.355,0.198,0.264
1GNI_A,0.737,0.000,0.263,0.250,0.248,0.246,0.256
1GSF_A,0.552,0.081,0.367,0.281,0.267,0.267,0.186
1GYX_A,0.447,0.171,0.382,0.145,0.421,0.237,0.197
1H4N_A,0.143,0.313,0.544,0.293,0.263,0.212,0.232
1H60_A,0.321,0.126,0.552,0.365,0.203,0.247,0.184
1H8S_A,0.000,0.472,0.528,0.214,0.290,0.294,0.202
1HII_A,0.091,0.465,0.444,0.212,0.374,0.242,0.172
1HK2_A,0.737,0.000,0.263,0.250,0.250,0.246,0.255
1HK3_A,0.738,0.000,0.262,0.248,0.251,0.250,0.251
1HMR_A,0.121,0.583,0.295,0.152,0.364,0.212,0.273
1HQG_A,0.375,0.133,0.492,0.421,0.204,0.220,0.155
1HSH_A,0.091,0.465,0.444,0.212,0.374,0.242,0.172
1HSL_A,0.357,0.235,0.408,0.273,0.231,0.265,0.231
1HXB_A,0.091,0.475,0.434,0.202,0.364,0.242,0.192
1I7Z_A,0.000,0.484,0.516,0.174,0.356,0.247,0.224
1I7Z_B,0.000,0.455,0.545,0.191,0.341,0.245,0.223
1IBG_H,0.000,0.447,0.553,0.207,0.336,0.249,0.207
1IBG_L,0.000,0.470,0.530,0.171,0.378,0.263,0.189
1IEP_A,0.399,0.177,0.423,0.314,0.253,0.235,0.198
1II5_A,0.343,0.240,0.416,0.283,0.262,0.258,0.197
1IKV_A,0.309,0.216,0.475,0.298,0.218,0.282,0.202
1IKW_A,0.311,0.218,0.471,0.302,0.221,0.277,0.200
1IKW_B,0.279,0.237,0.485,0.307,0.230,0.260,0.204
1J07_A,0.337,0.112,0.551,0.396,0.219,0.221,0.164
1J36_A,0.614,0.010,0.376,0.331,0.196,0.250,0.222
1JGL_H,0.000,0.468,0.532,0.193,0.344,0.234,0.229
1JGL_L,0.000,0.495,0.505,0.154,0.360,0.285,0.201
1JLQ_B,0.291,0.227,0.482,0.307,0.232,0.261,0.200
1JQE_A,0.432,0.171,0.397,0.281,0.247,0.233,0.240
1JY1_A,0.216,0.203,0.582,0.362,0.235,0.220,0.183
1JYS_A,0.343,0.244,0.413,0.355,0.236,0.236,0.174
1JZS_A,0.424,0.130,0.446,0.389,0.196,0.245,0.171
1K6C_A,0.101,0.455,0.444,0.222,0.374,0.232,0.172
1LAF_E,0.353,0.231,0.416,0.269,0.235,0.256,0.239
1LAN_A,0.397,0.184,0.419,0.419,0.190,0.248,0.143
1LBK_A,0.534,0.101,0.365,0.293,0.260,0.240,0.207
1LFO_A,0.125,0.586,0.289,0.156,0.359,0.203,0.281
1LGW_A,0.524,0.073,0.402,0.220,0.299,0.250,0.232
1ME3_A,0.200,0.209,0.591,0.321,0.214,0.284,0.181
1MX1_A,0.339,0.111,0.549,0.387,0.234,0.221,0.159
1N43_A,0.000,0.496,0.504,0.244,0.339,0.236,0.181
1N8E_E,0.247,0.250,0.503,0.265,0.274,0.265,0.195
1N9M_A,0.031,0.504,0.465,0.236,0.339,0.236,0.189
1NDJ_A,0.031,0.504,0.465,0.236,0.339,0.236,0.189
1NHG_A,0.515,0.140,0.345,0.358,0.236,0.258,0.148
1NHG_C,0.450,0.083,0.467,0.200,0.450,0.200,0.150
1NLI_A,0.371,0.226,0.403,0.302,0.266,0.190,0.242
1NOX_A,0.498,0.137,0.366,0.302,0.263,0.244,0.190
1O1W_A,0.362,0.239,0.399,0.254,0.275,0.254,0.217
1O41_A,0.185,0.278,0.537,0.176,0.343,0.241,0.241
1OBA_A,0.171,0.410,0.419,0.319,0.212,0.260,0.209
1OE0_A,0.539,0.104,0.357,0.270,0.287,0.261,0.183
1OQA_A,0.264,0.236,0.500,0.182,0.391,0.245,0.182
1OXR_A,0.454,0.084,0.462,0.185,0.328,0.210,0.277
1OZV_A,0.473,0.124,0.403,0.266,0.268,0.300,0.167
1PB8_A,0.301,0.229,0.469,0.260,0.260,0.271,0.209
1PBK_A,0.078,0.371,0.552,0.164,0.345,0.233,0.259
1PFU_A,0.477,0.096,0.426,0.350,0.196,0.252,0.201
1Q72_H,0.000,0.457,0.543,0.188,0.332,0.265,0.215
1Q72_L,0.005,0.482,0.514,0.183,0.362,0.261,0.193
1QCA_A,0.300,0.347,0.352,0.376,0.225,0.221,0.178
1QCY_A,0.373,0.192,0.435,0.295,0.275,0.207,0.223
1QFT_A,0.126,0.394,0.480,0.223,0.331,0.263,0.183
1QKT_A,0.629,0.016,0.355,0.286,0.250,0.250,0.214
1QKU_A,0.620,0.016,0.364,0.292,0.248,0.240,0.220
1QVT_A,0.773,0.000,0.227,0.258,0.232,0.247,0.263
1RA7_A,0.410,0.113,0.477,0.356,0.187,0.254,0.204
1RBP_A,0.099,0.363,0.538,0.198,0.308,0.264,0.231
1RQ2_A,0.346,0.181,0.474,0.359,0.285,0.194,0.162
1SBR_A,0.325,0.255,0.420,0.350,0.225,0.225,0.200
1SDT_A,0.081,0.475,0.444,0.212,0.343,0.232,0.212
1SDU_A,0.091,0.455,0.455,0.212,0.354,0.242,0.192
1SDV_A,0.101,0.465,0.434,0.212,0.354,0.253,0.182
1SGU_A,0.101,0.455,0.444,0.222,0.374,0.242,0.162
1SSQ_A,0.356,0.180,0.464,0.337,0.184,0.288,0.191
1STP_A,0.088,0.403,0.509,0.220,0.409,0.214,0.157
1SWG_A,0.000,0.438,0.562,0.250,0.469,0.133,0.148
1SWK_A,0.000,0.457,0.543,0.213,0.370,0.220,0.197
1SWN_A,0.031,0.504,0.465,0.244,0.346,0.244,0.165
1SWP_A,0.000,0.504,0.496,0.244,0.339,0.228,0.189
1SWR_A,0.000,0.512,0.488,0.244,0.346,0.228,0.181
1T4S_A,0.398,0.140,0.462,0.427,0.194,0.223,0.156
1TUF_A,0.334,0.240,0.426,0.403,0.177,0.240,0.180
1TXR_A,0.375,0.147,0.478,0.361,0.251,0.244,0.144
1UA4_A,0.429,0.193,0.378,0.389,0.211,0.222,0.178
1ULL_B,0.765,0.000,0.235,0.000,1.000,0.000,0.000
1UPF_A,0.357,0.250,0.393,0.357,0.237,0.241,0.165
1USI_C,0.428,0.205,0.367,0.353,0.194,0.263,0.191
1UW6_A,0.076,0.498,0.427,0.213,0.261,0.284,0.242
1WDN_A,0.363,0.252,0.385,0.274,0.252,0.257,0.217
1WEI_A,0.649,0.000,0.351,0.258,0.276,0.271,0.196
1WKM_A,0.332,0.237,0.431,0.359,0.166,0.244,0.231
1X70_A,0.152,0.382,0.466,0.326,0.203,0.297,0.174
1XBB_A,0.402,0.206,0.392,0.320,0.254,0.237,0.189
1XFF_A,0.275,0.338,0.388,0.367,0.217,0.250,0.167
1XKK_A,0.355,0.156,0.489,0.273,0.301,0.261,0.165
1XM4_A,0.560,0.000,0.440,0.309,0.276,0.251,0.163
1XO2_B,0.357,0.185,0.458,0.302,0.250,0.250,0.198
1XOM_A,0.633,0.000,0.367,0.341,0.221,0.244,0.195
1XOZ_A,0.646,0.000,0.354,0.330,0.236,0.245,0.190
1XT8_A,0.390,0.195,0.414,0.295,0.260,0.240,0.205
1XZX_X,0.594,0.018,0.388,0.263,0.331,0.210,0.196
1Y7V_A,0.256,0.266,0.479,0.402,0.185,0.233,0.179
1YA4_A,0.344,0.115,0.541,0.389,0.218,0.229,0.164
1YC5_A,0.398,0.167,0.435,0.329,0.224,0.268,0.179
1YDA_A,0.143,0.313,0.544,0.290,0.263,0.224,0.224
1YDB_A,0.143,0.313,0.544,0.286,0.263,0.224,0.228
1YDD_A,0.143,0.317,0.541,0.286,0.266,0.228,0.220
1YHM_A,0.724,0.000,0.276,0.381,0.229,0.229,0.160
1YVM_A,0.314,0.246,0.439,0.341,0.205,0.261,0.193
1YXD_A,0.466,0.130,0.404,0.404,0.164,0.257,0.175
1YZ3_A,0.367,0.180,0.453,0.294,0.280,0.218,0.208
1Z2B_B,0.398,0.146,0.456,0.396,0.196,0.243,0.166
1Z2B_C,0.393,0.147,0.460,0.404,0.196,0.234,0.165
1Z9H_A,0.497,0.100,0.403,0.303,0.259,0.231,0.207
1ZHH_A,0.456,0.186,0.358,0.288,0.250,0.288,0.174
1ZHH_B,0.326,0.302,0.372,0.289,0.215,0.273,0.223
1ZHY_A,0.247,0.256,0.498,0.272,0.228,0.290,0.210
1ZP8_A,0.091,0.475,0.434,0.202,0.354,0.242,0.202
1ZSB_A,0.143,0.313,0.544,0.286,0.263,0.224,0.228
1ZZ1_A,0.423,0.127,0.450,0.417,0.168,0.274,0.141
2A4M_C,0.565,0.060,0.375,0.363,0.202,0.227,0.208
2A88_A,0.393,0.213,0.393,0.300,0.237,0.260,0.203
2AOU_A,0.435,0.175,0.390,0.274,0.257,0.240,0.229
2AVM_A,0.091,0.455,0.455,0.212,0.354,0.242,0.192
2AVS_A,0.091,0.465,0.444,0.212,0.354,0.242,0.192
2AVV_A,0.091,0.475,0.434,0.212,0.354,0.242,0.192
2B7A_A,0.392,0.188,0.420,0.331,0.235,0.239,0.195
2C4V_A,0.473,0.168,0.359,0.347,0.257,0.228,0.168
2CEO_A,0.311,0.325,0.364,0.338,0.224,0.211,0.227
2CSM_A,0.586,0.000,0.414,0.285,0.230,0.289,0.195
2D06_A,0.434,0.102,0.464,0.308,0.261,0.234,0.197
2DRC_A,0.220,0.333,0.447,0.283,0.270,0.208,0.239
2F01_A,0.000,0.512,0.488,0.244,0.339,0.244,0.173
2F3K_A,0.101,0.455,0.444,0.222,0.374,0.232,0.172
2F80_A,0.081,0.475,0.444,0.212,0.343,0.242,0.202
2FGU_A,0.101,0.465,0.434,0.222,0.394,0.222,0.162
2FGV_A,0.101,0.465,0.434,0.222,0.394,0.222,0.162
2FL5_H,0.000,0.450,0.550,0.195,0.341,0.268,0.195
2FL5_L,0.000,0.478,0.522,0.163,0.383,0.254,0.201
2FOY_A,0.142,0.308,0.550,0.277,0.265,0.212,0.246
2FQW_A,0.409,0.217,0.374,0.358,0.230,0.230,0.182
2FUM_A,0.385,0.174,0.441,0.321,0.268,0.201,0.211
2FW6_A,0.421,0.158,0.421,0.388,0.284,0.208,0.120
2GAQ_A,0.840,0.000,0.160,0.230,0.260,0.200,0.310
2GGU_A,0.319,0.250,0.431,0.200,0.350,0.219,0.231
2GL0_A,0.299,0.317,0.383,0.365,0.204,0.251,0.180
2GSU_A,0.260,0.158,0.583,0.354,0.204,0.242,0.201
2HA4_A,0.337,0.112,0.551,0.396,0.219,0.219,0.166
2HNY_A,0.303,0.227,0.470,0.301,0.213,0.285,0.200
2HS1_A,0.081,0.465,0.455,0.212,0.354,0.242,0.192
2HS2_A,0.081,0.465,0.455,0.212,0.354,0.242,0.192
2IEO_A,0.091,0.455,0.455,0.212,0.354,0.242,0.192
2ISV_A,0.480,0.127,0.393,0.365,0.198,0.263,0.173
2IVU_A,0.350,0.162,0.487,0.306,0.258,0.255,0.182
2KDH_A,0.583,0.028,0.389,0.181,0.375,0.139,0.306
2O23_A,0.445,0.147,0.408,0.411,0.200,0.223,0.166
2O4L_A,0.091,0.475,0.434,0.202,0.364,0.242,0.192
2O4N_A,0.091,0.475,0.434,0.222,0.364,0.232,0.182
2PQJ_A,0.379,0.152,0.469,0.267,0.288,0.235,0.210
2QHC_A,0.091,0.475,0.434,0.212,0.354,0.242,0.192
2QQI_A,0.000,0.475,0.525,0.318,0.223,0.233,0.226
2QQS_A,0.059,0.458,0.483,0.153,0.364,0.203,0.280
2QWB_A,0.000,0.438,0.562,0.397,0.191,0.273,0.139
2REG_A,0.446,0.154,0.399,0.309,0.252,0.238,0.201
2RKF_A,0.101,0.465,0.434,0.202,0.374,0.253,0.172
2RKG_A,0.120,0.430,0.450,0.220,0.380,0.230,0.170
2UY3_A,0.303,0.180,0.517,0.398,0.245,0.204,0.153
2V57_A,0.726,0.000,0.274,0.247,0.289,0.247,0.216
2V95_A,0.315,0.321,0.364,0.315,0.224,0.226,0.235
2VM6_A,0.767,0.000,0.233,0.267,0.273,0.227,0.233
2VX9_A,0.246,0.554,0.200,0.246,0.231,0.138,0.385
2VXA_A,0.222,0.500,0.278,0.222,0.306,0.194,0.278
2W2I_A,0.293,0.162,0.545,0.332,0.249,0.237,0.182
2W8Y_A,0.596,0.019,0.385,0.296,0.246,0.246,0.212
2W97_B,0.249,0.221,0.530,0.244,0.378,0.203,0.175
2WWY_A,0.420,0.147,0.433,0.279,0.271,0.276,0.174
2XTK_A,0.287,0.168,0.545,0.387,0.229,0.229,0.155
2XZ5_A,0.092,0.521,0.387,0.249,0.217,0.318,0.217
2YDO_A,0.714,0.000,0.286,0.357,0.234,0.231,0.178
3A3Y_A,0.488,0.138,0.374,0.374,0.191,0.262,0.174
3AQT_A,0.612,0.000,0.388,0.249,0.359,0.204,0.188
3AXZ_A,0.429,0.113,0.459,0.312,0.259,0.252,0.177
3AY0_A,0.345,0.304,0.351,0.307,0.214,0.256,0.223
3BVA_A,0.091,0.475,0.434,0.202,0.354,0.263,0.182
3CYW_A,0.081,0.475,0.444,0.202,0.333,0.253,0.212
3CZV_A,0.140,0.311,0.549,0.273,0.273,0.223,0.231
3D1X_A,0.081,0.475,0.444,0.212,0.343,0.242,0.202
3D1Y_A,0.081,0.475,0.444,0.212,0.343,0.232,0.212
3D1Z_A,0.081,0.475,0.444,0.212,0.343,0.242,0.202
3DBU_A,0.142,0.312,0.546,0.277,0.265,0.235,0.223
3DI6_A,0.305,0.216,0.480,0.296,0.217,0.289,0.198
3EKA_A,0.154,0.325,0.521,0.286,0.274,0.283,0.157
3EKP_A,0.101,0.455,0.444,0.222,0.374,0.232,0.172
3EKV_A,0.101,0.455,0.444,0.222,0.374,0.232,0.172
3EVG_A,0.353,0.182,0.465,0.331,0.244,0.222,0.204
3EYG_A,0.390,0.203,0.407,0.321,0.238,0.241,0.200
3F32_A,0.736,0.000,0.264,0.259,0.259,0.253,0.230
3FL8_A,0.211,0.325,0.464,0.277,0.277,0.217,0.229
3G4I_A,0.593,0.000,0.407,0.315,0.270,0.236,0.178
3G6M_A,0.320,0.177,0.502,0.352,0.244,0.239,0.165
3GCP_A,0.375,0.156,0.469,0.278,0.275,0.236,0.211
3GGU_A,0.101,0.455,0.444,0.222,0.374,0.242,0.162
3GPJ_H,0.288,0.297,0.414,0.302,0.225,0.252,0.221
3GPJ_I,0.319,0.299,0.382,0.363,0.201,0.235,0.201
3GWX_A,0.679,0.007,0.314,0.288,0.284,0.236,0.192
3HEC_A,0.379,0.158,0.463,0.284,0.256,0.239,0.221
3KDM_H,0.000,0.440,0.560,0.209,0.320,0.253,0.218
3KDM_L,0.000,0.491,0.509,0.161,0.353,0.289,0.197
3KIV_A,0.013,0.203,0.785,0.089,0.519,0.215,0.177
3L6H_A,0.426,0.180,0.395,0.309,0.234,0.266,0.191
3LS4_H,0.000,0.461,0.539,0.196,0.333,0.256,0.215
3LS4_L,0.000,0.484,0.516,0.167,0.372,0.274,0.186
3LZS_A,0.091,0.475,0.434,0.212,0.364,0.253,0.172
3LZU_A,0.091,0.475,0.434,0.212,0.374,0.242,0.172
3LZV_A,0.101,0.465,0.434,0.222,0.343,0.232,0.202
3MAM_A,0.444,0.152,0.404,0.315,0.241,0.237,0.207
3MXF_A,0.551,0.000,0.449,0.173,0.394,0.189,0.244
3N0H_A,0.204,0.280,0.516,0.274,0.285,0.231,0.210
3N23_A,0.496,0.143,0.361,0.374,0.176,0.271,0.178
3N7H_A,0.600,0.032,0.368,0.208,0.352,0.160,0.280
3NSQ_B,0.637,0.013,0.350,0.292,0.283,0.221,0.204
3NUJ_A,0.081,0.475,0.444,0.212,0.343,0.232,0.212
3OG7_A,0.381,0.190,0.429,0.318,0.253,0.235,0.194
3OGP_A,0.060,0.483,0.457,0.216,0.328,0.233,0.224
3OYL_A,0.347,0.165,0.489,0.251,0.281,0.281,0.187
3OYN_A,0.347,0.165,0.489,0.248,0.286,0.294,0.172
3P4W_A,0.321,0.333,0.346,0.289,0.208,0.277,0.226
3P9T_A,0.703,0.000,0.297,0.242,0.279,0.256,0.224
3PPO_A,0.476,0.125,0.399,0.338,0.257,0.219,0.186
3PWM_A,0.081,0.485,0.434,0.202,0.354,0.232,0.212
3R16_A,0.144,0.315,0.541,0.288,0.261,0.222,0.230
3R6U_A,0.440,0.134,0.426,0.317,0.250,0.229,0.204
3RLB_A,0.755,0.000,0.245,0.328,0.255,0.229,0.188
3RQW_A,0.307,0.320,0.373,0.301,0.245,0.270,0.183
3S0B_A,0.613,0.008,0.378,0.185,0.370,0.151,0.294
3S3M_A,0.344,0.165,0.491,0.248,0.284,0.281,0.187
3S3V_A,0.204,0.274,0.522,0.269,0.285,0.237,0.210
3S43_A,0.101,0.465,0.434,0.202,0.364,0.263,0.172
3S43_B,0.101,0.465,0.434,0.212,0.354,0.253,0.182
3SLZ_A,0.053,0.379,0.568,0.227,0.371,0.205,0.197
3SO9_A,0.101,0.455,0.444,0.222,0.374,0.232,0.172
3T3C_A,0.091,0.465,0.444,0.202,0.354,0.263,0.182
3TIA_A,0.072,0.392,0.535,0.433,0.186,0.247,0.134
3TKW_A,0.068,0.466,0.466,0.233,0.359,0.214,0.194
3U7S_A,0.101,0.455,0.444,0.222,0.374,0.232,0.172
3UCJ_A,0.485,0.137,0.379,0.339,0.260,0.233,0.167
3VHU_A,0.534,0.017,0.449,0.282,0.344,0.194,0.180
3ZNC_A,0.132,0.326,0.543,0.264,0.295,0.240,0.202
4AG8_A,0.358,0.184,0.459,0.304,0.278,0.247,0.171
4AGC_A,0.320,0.190,0.490,0.280,0.300,0.238,0.181
4BB2_A,0.353,0.309,0.338,0.326,0.235,0.203,0.235
4BB2_B,0.000,0.559,0.441,0.206,0.529,0.235,0.029
4KC3_B,0.029,0.524,0.447,0.162,0.337,0.239,0.262
4TS1_A,0.536,0.107,0.357,0.376,0.210,0.245,0.169
AAA24585,0.289,0.221,0.490,0.322,0.183,0.277,0.219
AAA34498,0.292,0.000,0.708,0.000,1.000,0.000,0.000
AAA51534,0.000,0.504,0.496,0.186,0.425,0.195,0.195
AAA51985,0.125,0.269,0.606,0.318,0.226,0.278,0.178
AAA60529,0.428,0.140,0.432,0.375,0.221,0.204,0.200
AAB03573,0.583,0.076,0.341,0.280,0.265,0.242,0.213
AAB59829,0.349,0.219,0.432,0.326,0.187,0.284,0.203
AAB69734,0.376,0.106,0.518,0.223,0.381,0.215,0.180
AAC46381,0.457,0.157,0.386,0.360,0.198,0.239,0.203
AAC57158,0.685,0.009,0.306,0.022,0.766,0.134,0.077
AAC83551,0.344,0.153,0.503,0.257,0.274,0.285,0.184
AAD17299,0.308,0.243,0.449,0.254,0.319,0.238,0.189
AAF61483,0.350,0.233,0.417,0.357,0.222,0.241,0.180
AAG02439,0.427,0.197,0.376,0.484,0.138,0.232,0.146
AAG29538,0.224,0.008,0.768,0.168,0.604,0.136,0.092
AAH92442,0.257,0.208,0.535,0.257,0.378,0.230,0.135
AAN35928,0.186,0.161,0.653,0.264,0.257,0.275,0.204
AAN87168,0.333,0.256,0.411,0.382,0.203,0.228,0.187
AAP13898,0.418,0.273,0.309,0.145,0.382,0.164,0.309
AAQ89316,0.339,0.055,0.606,0.183,0.569,0.174,0.073
AAS58777,0.371,0.199,0.430,0.431,0.183,0.231,0.155
AAX41033,0.199,0.154,0.647,0.254,0.192,0.360,0.194
AAX80043,0.428,0.098,0.474,0.328,0.272,0.249,0.151
AAZ82016,0.208,0.378,0.414,0.414,0.150,0.280,0.156
ABC47431,0.008,0.071,0.921,0.111,0.833,0.048,0.008
ABD59884,0.464,0.052,0.485,0.113,0.588,0.144,0.155
ABH03417,0.427,0.215,0.358,0.399,0.203,0.234,0.165
ABJ55414,0.430,0.212,0.358,0.352,0.221,0.239,0.188
ABM67533,0.324,0.220,0.456,0.404,0.200,0.253,0.144
ABN45876,0.257,0.281,0.463,0.423,0.173,0.252,0.152
ABY84639,0.300,0.243,0.457,0.300,0.271,0.257,0.171
ACA62796,0.082,0.036,0.882,0.102,0.737,0.108,0.052
ACF54603,0.457,0.135,0.409,0.300,0.248,0.278,0.174
ACM69038,0.378,0.156,0.466,0.460,0.103,0.294,0.143
ADQ57959,0.677,0.008,0.315,0.027,0.714,0.132,0.128
BAA01595,0.401,0.234,0.365,0.288,0.249,0.259,0.204
BAA05005,0.317,0.216,0.467,0.409,0.214,0.241,0.136
BAA21481,0.331,0.062,0.606,0.226,0.386,0.251,0.137
BAA86720,0.087,0.329,0.584,0.298,0.225,0.251,0.225
BAC78637,0.412,0.144,0.444,0.297,0.246,0.262,0.195
BAC78638,0.281,0.337,0.382,0.258,0.371,0.146,0.225
BAJ07247,0.373,0.163,0.464,0.464,0.105,0.287,0.144
CAA52898,0.379,0.230,0.391,0.353,0.194,0.279,0.174
CAA56931,0.403,0.171,0.426,0.283,0.294,0.226,0.197
CAA58789,0.059,0.483,0.458,0.298,0.231,0.252,0.218
CAA81943,0.331,0.200,0.469,0.418,0.208,0.222,0.152
CAA84846,0.677,0.026,0.296,0.111,0.503,0.169,0.217
CAA89647,0.733,0.022,0.245,0.291,0.199,0.285,0.225
CAA96025,0.595,0.000,0.405,0.513,0.196,0.160,0.130
CAA97545,0.408,0.236,0.356,0.192,0.280,0.248,0.280
CAB46913,0.365,0.176,0.459,0.440,0.137,0.274,0.150
CAC24715,0.386,0.167,0.446,0.339,0.211,0.289,0.161
CAH72619,0.243,0.123,0.635,0.295,0.161,0.287,0.257
CAI10960,0.422,0.008,0.570,0.234,0.378,0.236,0.152
CAI14764,0.387,0.108,0.505,0.250,0.368,0.217,0.165
CAI16307,0.418,0.053,0.529,0.284,0.258,0.222,0.236
CAI19360,0.079,0.300,0.622,0.198,0.229,0.308,0.264
CAI19851,0.338,0.265,0.397,0.235,0.324,0.287,0.154
CAM24989,0.408,0.193,0.399,0.265,0.296,0.235,0.204
CAQ07474,0.217,0.091,0.692,0.281,0.276,0.280,0.162
CCE37082,0.398,0.174,0.428,0.481,0.167,0.204,0.149
CDO16358,0.360,0.208,0.432,0.339,0.213,0.254,0.193
CDO16711,0.063,0.339,0.598,0.167,0.517,0.184,0.132
EDT84149,0.312,0.226,0.462,0.336,0.166,0.291,0.206
EMB09144,0.448,0.179,0.373,0.385,0.192,0.253,0.171
NP_001009598,0.030,0.000,0.970,0.000,1.000,0.000,0.000
NP_001014833,0.326,0.115,0.559,0.235,0.390,0.209,0.167
NP_001123535,0.520,0.059,0.421,0.366,0.311,0.205,0.118
NP_001243743,0.391,0.127,0.482,0.369,0.202,0.260,0.168
NP_002741,0.385,0.161,0.453,0.271,0.302,0.255,0.172
NP_044650,0.449,0.053,0.498,0.294,0.261,0.241,0.204
NP_055369,0.250,0.061,0.689,0.143,0.546,0.191,0.120
NP_277023,0.270,0.073,0.657,0.151,0.611,0.147,0.092
NP_652928,0.523,0.101,0.376,0.226,0.286,0.265,0.224
NP_988635,0.481,0.140,0.379,0.331,0.190,0.273,0.206
O00764,0.407,0.199,0.394,0.359,0.212,0.250,0.179
O30463,0.188,0.276,0.536,0.265,0.315,0.221,0.199
O42713,0.277,0.126,0.597,0.333,0.225,0.250,0.192
O42778,0.165,0.353,0.481,0.341,0.257,0.249,0.153
O42779,0.125,0.333,0.542,0.322,0.261,0.263,0.154
O52691,0.238,0.220,0.542,0.251,0.352,0.225,0.172
O69773,0.378,0.130,0.492,0.357,0.221,0.279,0.143
O70282,0.522,0.038,0.440,0.393,0.194,0.232,0.181
O75343,0.368,0.183,0.449,0.300,0.238,0.280,0.182
O77773,0.294,0.214,0.492,0.355,0.196,0.273,0.176
O77823,0.364,0.000,0.636,0.093,0.754,0.102,0.051
O86157,0.148,0.335,0.517,0.330,0.197,0.256,0.217
O95372,0.346,0.160,0.494,0.307,0.260,0.242,0.190
O96394,0.398,0.125,0.477,0.401,0.198,0.258,0.143
P00380,0.216,0.335,0.449,0.281,0.275,0.210,0.234
P00381,0.227,0.313,0.460,0.282,0.264,0.239,0.215
P00469,0.386,0.174,0.440,0.377,0.203,0.225,0.196
P00515,0.329,0.252,0.419,0.219,0.324,0.222,0.234
P00761,0.087,0.381,0.532,0.294,0.286,0.251,0.169
